epoch,train_loss,val_loss,lr,grad_norm,timestamp
1,6.3600,5.7076,0.00100000,2.0670,2026-06-04 10:21:51
2,5.5949,5.4502,0.00100000,2.4437,2026-06-04 10:21:52
3,5.3323,5.3242,0.00100000,2.5788,2026-06-04 10:21:54
4,5.1458,5.2092,0.00100000,2.7233,2026-06-04 10:21:55
5,4.9701,5.1335,0.00100000,2.4960,2026-06-04 10:21:56
6,4.8334,5.0973,0.00100000,2.5811,2026-06-04 10:21:57
7,4.6913,5.0649,0.00100000,2.9393,2026-06-04 10:21:59
8,4.5638,5.0272,0.00100000,3.0168,2026-06-04 10:22:00
9,4.4399,5.0262,0.00100000,3.2211,2026-06-04 10:22:02
10,4.3091,5.0152,0.00100000,2.8698,2026-06-04 10:22:03
11,4.1901,5.0035,0.00100000,2.9814,2026-06-04 10:22:05
12,4.0659,5.0235,0.00100000,2.9922,2026-06-04 10:22:07
13,3.9570,5.0140,0.00100000,3.5223,2026-06-04 10:22:08
14,3.8488,5.0349,0.00100000,3.5260,2026-06-04 10:22:09
15,3.7492,5.0430,0.00100000,3.8925,2026-06-04 10:22:10
16,3.6474,5.0445,0.00100000,3.8205,2026-06-04 10:22:12
17,3.5482,5.0890,0.00100000,4.0777,2026-06-04 10:22:13
18,3.4523,5.1063,0.00100000,4.3994,2026-06-04 10:22:14
19,3.3674,5.1528,0.00100000,3.8128,2026-06-04 10:22:16
20,3.2697,5.1698,0.00100000,3.8695,2026-06-04 10:22:17
21,3.1874,5.2089,0.00100000,4.2350,2026-06-04 10:22:18
22,3.1157,5.2016,0.00100000,3.5745,2026-06-04 10:22:19
23,2.9352,5.2618,0.00050000,5.0572,2026-06-04 10:22:21
24,2.8725,5.2563,0.00050000,4.0154,2026-06-04 10:22:22
25,2.8241,5.2822,0.00050000,4.5930,2026-06-04 10:22:23
26,2.7726,5.3106,0.00050000,4.2395,2026-06-04 10:22:25
27,2.7434,5.3187,0.00050000,5.1696,2026-06-04 10:22:28
28,2.7006,5.3333,0.00050000,4.4135,2026-06-04 10:22:30
29,2.6643,5.3495,0.00050000,3.7755,2026-06-04 10:22:32
30,2.6273,5.3452,0.00050000,3.9942,2026-06-04 10:22:34
31,2.5862,5.3748,0.00050000,4.7267,2026-06-04 10:22:37
32,2.5586,5.3688,0.00050000,3.6202,2026-06-04 10:22:39
33,2.5214,5.3964,0.00050000,4.6765,2026-06-04 10:22:41
34,2.4286,5.4101,0.00025000,4.0148,2026-06-04 10:22:44
35,2.4029,5.4184,0.00025000,4.3391,2026-06-04 10:22:46
36,2.3897,5.4183,0.00025000,5.1083,2026-06-04 10:22:48
37,2.3722,5.4347,0.00025000,3.8904,2026-06-04 10:22:50
38,2.3493,5.4371,0.00025000,4.5468,2026-06-04 10:22:53
39,2.3395,5.4397,0.00025000,4.5397,2026-06-04 10:22:55
40,2.3098,5.4572,0.00025000,4.5355,2026-06-04 10:22:57
41,2.2980,5.4621,0.00025000,4.7036,2026-06-04 10:22:59
42,2.2837,5.4601,0.00025000,5.1525,2026-06-04 10:23:00
43,2.2672,5.4615,0.00025000,4.2135,2026-06-04 10:23:02
44,2.2556,5.4717,0.00025000,4.9891,2026-06-04 10:23:04
45,2.2097,5.4803,0.00012500,4.6266,2026-06-04 10:23:06
46,2.2046,5.4798,0.00012500,4.4358,2026-06-04 10:23:07
47,2.1843,5.4854,0.00012500,5.6115,2026-06-04 10:23:09
48,2.1703,5.4919,0.00012500,4.4619,2026-06-04 10:23:10
49,2.1696,5.4943,0.00012500,4.4225,2026-06-04 10:23:11
50,2.1594,5.4985,0.00012500,4.9504,2026-06-04 10:23:12
51,2.1563,5.4937,0.00012500,4.5613,2026-06-04 10:23:14
52,2.1589,5.5004,0.00012500,4.3594,2026-06-04 10:23:15
53,2.1421,5.5014,0.00012500,5.6980,2026-06-04 10:23:17
54,2.1262,5.5049,0.00012500,4.6536,2026-06-04 10:23:19
55,2.1290,5.5068,0.00012500,5.0277,2026-06-04 10:23:20
56,2.1088,5.5098,0.00006250,3.9909,2026-06-04 10:23:22
57,2.1013,5.5151,0.00006250,4.1962,2026-06-04 10:23:24
58,2.0921,5.5178,0.00006250,5.6801,2026-06-04 10:23:26
59,2.0832,5.5175,0.00006250,4.3286,2026-06-04 10:23:28
60,2.0927,5.5146,0.00006250,4.5947,2026-06-04 10:23:31
61,2.0835,5.5165,0.00006250,4.5912,2026-06-04 10:23:33
62,2.0769,5.5208,0.00006250,4.8867,2026-06-04 10:23:35
63,2.0696,5.5207,0.00006250,4.6089,2026-06-04 10:23:38
64,2.0713,5.5241,0.00006250,4.5077,2026-06-04 10:23:40
65,2.0601,5.5236,0.00006250,4.0318,2026-06-04 10:23:42
66,2.0603,5.5252,0.00006250,4.7830,2026-06-04 10:23:44
67,2.0602,5.5237,0.00003125,4.4609,2026-06-04 10:23:45
68,2.0428,5.5265,0.00003125,4.8770,2026-06-04 10:23:47
69,2.0557,5.5249,0.00003125,4.7184,2026-06-04 10:23:48
70,2.0498,5.5262,0.00003125,3.6202,2026-06-04 10:23:49
71,2.0518,5.5268,0.00003125,4.8518,2026-06-04 10:23:50
72,2.0352,5.5303,0.00003125,4.8369,2026-06-04 10:23:52
73,2.0355,5.5284,0.00003125,4.5648,2026-06-04 10:23:53
74,2.0422,5.5287,0.00003125,4.1974,2026-06-04 10:23:54
75,2.0313,5.5293,0.00003125,4.6798,2026-06-04 10:23:55
76,2.0319,5.5284,0.00003125,3.9541,2026-06-04 10:23:57
77,2.0257,5.5331,0.00003125,3.3698,2026-06-04 10:23:58
78,2.0254,5.5332,0.00001563,4.3991,2026-06-04 10:23:59
79,2.0290,5.5327,0.00001563,4.2642,2026-06-04 10:24:00
80,2.0223,5.5322,0.00001563,4.1393,2026-06-04 10:24:02
81,2.0201,5.5314,0.00001563,4.0697,2026-06-04 10:24:03
82,2.0277,5.5316,0.00001563,5.3039,2026-06-04 10:24:04
83,2.0119,5.5320,0.00001563,4.9511,2026-06-04 10:24:06
84,2.0183,5.5320,0.00001563,4.2914,2026-06-04 10:24:07
85,2.0303,5.5314,0.00001563,4.3292,2026-06-04 10:24:08
86,2.0315,5.5336,0.00001563,5.3863,2026-06-04 10:24:09
87,2.0160,5.5341,0.00001563,4.8204,2026-06-04 10:24:11
88,2.0202,5.5336,0.00001563,4.1443,2026-06-04 10:24:12
89,2.0150,5.5341,0.00000781,4.1113,2026-06-04 10:24:13
90,2.0077,5.5356,0.00000781,4.1613,2026-06-04 10:24:14
91,2.0126,5.5360,0.00000781,4.8852,2026-06-04 10:24:16
92,2.0193,5.5356,0.00000781,4.0913,2026-06-04 10:24:17
93,2.0121,5.5358,0.00000781,4.7188,2026-06-04 10:24:18
94,2.0110,5.5359,0.00000781,4.1432,2026-06-04 10:24:20
95,2.0062,5.5357,0.00000781,4.6725,2026-06-04 10:24:22
96,2.0081,5.5356,0.00000781,4.5867,2026-06-04 10:24:25
97,2.0069,5.5358,0.00000781,3.9693,2026-06-04 10:24:26
98,2.0058,5.5362,0.00000781,4.6686,2026-06-04 10:24:28
99,2.0012,5.5362,0.00000781,3.6791,2026-06-04 10:24:31
100,2.0068,5.5365,0.00000391,5.9074,2026-06-04 10:24:32
101,2.0049,5.5371,0.00000391,4.7485,2026-06-04 10:24:33
