LSTM 語言模型訓練日誌
啟動時間: 2026-06-04 11:34:49.841177
vocab_size=1675, embed_size=128, hidden_size=128, num_layers=2, dropout=0.3
batch_size=64, lr=0.001, sequence_length=20, val_split=0.1, clip_grad_norm=1.0, min_freq=3, rep_penalty=1.2
================================================================================
 epoch | train_loss |   val_loss |           lr |  grad_norm |                 time
--------------------------------------------------------------------------------
     1 |     5.6239 |     5.3006 |   0.00100000 |     1.8371 |  2026-06-04 11:34:52
     2 |     5.1554 |     5.1203 |   0.00100000 |     1.8471 |  2026-06-04 11:34:53
     3 |     4.9622 |     5.0032 |   0.00100000 |     2.0344 |  2026-06-04 11:34:54
     4 |     4.8184 |     4.9319 |   0.00100000 |     1.9533 |  2026-06-04 11:34:56
     5 |     4.7007 |     4.8631 |   0.00100000 |     2.3003 |  2026-06-04 11:34:57
     6 |     4.5934 |     4.8172 |   0.00100000 |     1.8474 |  2026-06-04 11:34:58
     7 |     4.5023 |     4.7802 |   0.00100000 |     2.4196 |  2026-06-04 11:34:59
     8 |     4.4166 |     4.7565 |   0.00100000 |     2.2278 |  2026-06-04 11:35:01
     9 |     4.3425 |     4.7538 |   0.00100000 |     2.2620 |  2026-06-04 11:35:02
    10 |     4.2639 |     4.7298 |   0.00100000 |     2.5825 |  2026-06-04 11:35:03
    11 |     4.2037 |     4.7360 |   0.00100000 |     2.4727 |  2026-06-04 11:35:05
    12 |     4.1401 |     4.7180 |   0.00100000 |     2.3490 |  2026-06-04 11:35:06
    13 |     4.0816 |     4.7060 |   0.00100000 |     2.6600 |  2026-06-04 11:35:07
    14 |     4.0263 |     4.7216 |   0.00100000 |     2.7339 |  2026-06-04 11:35:09
    15 |     3.9684 |     4.7270 |   0.00100000 |     2.9542 |  2026-06-04 11:35:10
    16 |     3.9187 |     4.7190 |   0.00100000 |     2.3786 |  2026-06-04 11:35:12
    17 |     3.8722 |     4.7265 |   0.00100000 |     2.8884 |  2026-06-04 11:35:13
    18 |     3.8243 |     4.7259 |   0.00100000 |     2.7723 |  2026-06-04 11:35:15
    19 |     3.7914 |     4.7354 |   0.00100000 |     2.8512 |  2026-06-04 11:35:17
    20 |     3.7503 |     4.7441 |   0.00100000 |     2.8840 |  2026-06-04 11:35:18
    21 |     3.7005 |     4.7278 |   0.00100000 |     2.7564 |  2026-06-04 11:35:19
    22 |     3.6599 |     4.7502 |   0.00100000 |     2.8375 |  2026-06-04 11:35:20
    23 |     3.6212 |     4.7623 |   0.00100000 |     2.4827 |  2026-06-04 11:35:22
    24 |     3.5927 |     4.7683 |   0.00100000 |     3.0636 |  2026-06-04 11:35:24
    25 |     3.4972 |     4.7800 |   0.00050000 |     2.8436 |  2026-06-04 11:35:25
    26 |     3.4529 |     4.8006 |   0.00050000 |     3.1726 |  2026-06-04 11:35:27
    27 |     3.4277 |     4.8081 |   0.00050000 |     2.8675 |  2026-06-04 11:35:29
    28 |     3.4106 |     4.8058 |   0.00050000 |     3.2137 |  2026-06-04 11:35:30
    29 |     3.3930 |     4.8110 |   0.00050000 |     2.7167 |  2026-06-04 11:35:32
    30 |     3.3731 |     4.8157 |   0.00050000 |     2.4401 |  2026-06-04 11:35:33
    31 |     3.3544 |     4.8298 |   0.00050000 |     2.4416 |  2026-06-04 11:35:34
    32 |     3.3342 |     4.8208 |   0.00050000 |     2.7199 |  2026-06-04 11:35:36
    33 |     3.3235 |     4.8248 |   0.00050000 |     3.1865 |  2026-06-04 11:35:37
    34 |     3.3040 |     4.8502 |   0.00050000 |     2.9691 |  2026-06-04 11:35:38
    35 |     3.2847 |     4.8361 |   0.00050000 |     3.2156 |  2026-06-04 11:35:40
    36 |     3.2374 |     4.8499 |   0.00025000 |     3.1799 |  2026-06-04 11:35:41
    37 |     3.2204 |     4.8522 |   0.00025000 |     3.5877 |  2026-06-04 11:35:42
    38 |     3.2077 |     4.8634 |   0.00025000 |     3.2734 |  2026-06-04 11:35:44
    39 |     3.1965 |     4.8705 |   0.00025000 |     2.6670 |  2026-06-04 11:35:46
    40 |     3.1834 |     4.8670 |   0.00025000 |     3.3489 |  2026-06-04 11:35:48
    41 |     3.1761 |     4.8792 |   0.00025000 |     2.8943 |  2026-06-04 11:35:50
    42 |     3.1724 |     4.8836 |   0.00025000 |     3.3485 |  2026-06-04 11:35:53
    43 |     3.1686 |     4.8760 |   0.00025000 |     2.8993 |  2026-06-04 11:35:55
    44 |     3.1514 |     4.8828 |   0.00025000 |     3.0160 |  2026-06-04 11:35:57
    45 |     3.1415 |     4.8902 |   0.00025000 |     3.5978 |  2026-06-04 11:35:59
    46 |     3.1432 |     4.8871 |   0.00025000 |     3.2832 |  2026-06-04 11:36:01
    47 |     3.1161 |     4.8932 |   0.00012500 |     3.2622 |  2026-06-04 11:36:04
    48 |     3.1069 |     4.8923 |   0.00012500 |     2.8851 |  2026-06-04 11:36:06
    49 |     3.1073 |     4.8949 |   0.00012500 |     3.1318 |  2026-06-04 11:36:09
    50 |     3.0982 |     4.8954 |   0.00012500 |     3.4523 |  2026-06-04 11:36:11
    51 |     3.0895 |     4.8979 |   0.00012500 |     3.5060 |  2026-06-04 11:36:13
    52 |     3.0877 |     4.9013 |   0.00012500 |     2.5945 |  2026-06-04 11:36:15
    53 |     3.0804 |     4.9038 |   0.00012500 |     2.7214 |  2026-06-04 11:36:17
    54 |     3.0774 |     4.9026 |   0.00012500 |     3.4669 |  2026-06-04 11:36:19
    55 |     3.0654 |     4.9089 |   0.00012500 |     2.5414 |  2026-06-04 11:36:21
    56 |     3.0680 |     4.9083 |   0.00012500 |     3.0960 |  2026-06-04 11:36:23
    57 |     3.0707 |     4.9107 |   0.00012500 |     3.3328 |  2026-06-04 11:36:25
    58 |     3.0449 |     4.9146 |   0.00006250 |     3.1486 |  2026-06-04 11:36:26
    59 |     3.0451 |     4.9171 |   0.00006250 |     3.5148 |  2026-06-04 11:36:27
    60 |     3.0444 |     4.9147 |   0.00006250 |     3.1930 |  2026-06-04 11:36:29
    61 |     3.0431 |     4.9160 |   0.00006250 |     3.2792 |  2026-06-04 11:36:30
    62 |     3.0489 |     4.9162 |   0.00006250 |     3.4323 |  2026-06-04 11:36:31
    63 |     3.0406 |     4.9188 |   0.00006250 |     3.6269 |  2026-06-04 11:36:33
    64 |     3.0376 |     4.9160 |   0.00006250 |     3.8118 |  2026-06-04 11:36:34
    65 |     3.0293 |     4.9187 |   0.00006250 |     3.2815 |  2026-06-04 11:36:36
    66 |     3.0356 |     4.9209 |   0.00006250 |     3.6788 |  2026-06-04 11:36:39
    67 |     3.0250 |     4.9225 |   0.00006250 |     3.6706 |  2026-06-04 11:36:40
    68 |     3.0329 |     4.9214 |   0.00006250 |     2.6358 |  2026-06-04 11:36:42
    69 |     3.0233 |     4.9231 |   0.00003125 |     3.2410 |  2026-06-04 11:36:44
    70 |     3.0166 |     4.9229 |   0.00003125 |     3.5991 |  2026-06-04 11:36:47
    71 |     3.0182 |     4.9220 |   0.00003125 |     3.2432 |  2026-06-04 11:36:49
    72 |     3.0212 |     4.9232 |   0.00003125 |     3.3475 |  2026-06-04 11:36:50
    73 |     3.0190 |     4.9242 |   0.00003125 |     3.5682 |  2026-06-04 11:36:52
    74 |     3.0132 |     4.9239 |   0.00003125 |     3.1281 |  2026-06-04 11:36:54
    75 |     3.0208 |     4.9253 |   0.00003125 |     2.9975 |  2026-06-04 11:36:57
    76 |     3.0173 |     4.9252 |   0.00003125 |     3.0969 |  2026-06-04 11:36:59
    77 |     3.0092 |     4.9241 |   0.00003125 |     2.7477 |  2026-06-04 11:37:00
    78 |     3.0083 |     4.9251 |   0.00003125 |     3.2267 |  2026-06-04 11:37:02
    79 |     3.0112 |     4.9255 |   0.00003125 |     3.4952 |  2026-06-04 11:37:04
    80 |     3.0059 |     4.9264 |   0.00001563 |     3.0322 |  2026-06-04 11:37:06
    81 |     3.0075 |     4.9267 |   0.00001563 |     2.7924 |  2026-06-04 11:37:08
    82 |     3.0077 |     4.9264 |   0.00001563 |     3.5690 |  2026-06-04 11:37:10
    83 |     3.0023 |     4.9268 |   0.00001563 |     3.0727 |  2026-06-04 11:37:13
    84 |     3.0039 |     4.9273 |   0.00001563 |     3.4093 |  2026-06-04 11:37:15
    85 |     3.0062 |     4.9266 |   0.00001563 |     2.9892 |  2026-06-04 11:37:17
    86 |     3.0057 |     4.9273 |   0.00001563 |     3.4087 |  2026-06-04 11:37:19
    87 |     3.0048 |     4.9269 |   0.00001563 |     3.5429 |  2026-06-04 11:37:21
    88 |     2.9968 |     4.9286 |   0.00001563 |     3.2679 |  2026-06-04 11:37:23
    89 |     3.0065 |     4.9288 |   0.00001563 |     3.6643 |  2026-06-04 11:37:25
    90 |     2.9948 |     4.9284 |   0.00001563 |     3.0565 |  2026-06-04 11:37:27
    91 |     2.9984 |     4.9287 |   0.00001000 |     3.2608 |  2026-06-04 11:37:29
    92 |     3.0039 |     4.9287 |   0.00001000 |     3.4275 |  2026-06-04 11:37:31
    93 |     2.9958 |     4.9286 |   0.00001000 |     3.8208 |  2026-06-04 11:37:33
    94 |     2.9975 |     4.9292 |   0.00001000 |     3.7789 |  2026-06-04 11:37:35
    95 |     2.9944 |     4.9286 |   0.00001000 |     3.4748 |  2026-06-04 11:37:37
    96 |     3.0015 |     4.9284 |   0.00001000 |     3.2985 |  2026-06-04 11:37:39
    97 |     2.9967 |     4.9283 |   0.00001000 |     2.5852 |  2026-06-04 11:37:41
    98 |     2.9991 |     4.9282 |   0.00001000 |     3.2123 |  2026-06-04 11:37:43
    99 |     3.0005 |     4.9283 |   0.00001000 |     3.1833 |  2026-06-04 11:37:45
   100 |     3.0002 |     4.9285 |   0.00001000 |     3.4502 |  2026-06-04 11:37:47
   101 |     2.9929 |     4.9293 |   0.00001000 |     3.8410 |  2026-06-04 11:37:48
   102 |     3.0002 |     4.9292 |   0.00001000 |     3.0056 |  2026-06-04 11:37:50
   103 |     2.9951 |     4.9299 |   0.00001000 |     2.9714 |  2026-06-04 11:37:52
   104 |     2.9970 |     4.9300 |   0.00001000 |     2.9784 |  2026-06-04 11:37:54
   105 |     2.9982 |     4.9299 |   0.00001000 |     3.2939 |  2026-06-04 11:37:56
   106 |     2.9923 |     4.9302 |   0.00001000 |     2.7189 |  2026-06-04 11:37:58
   107 |     2.9920 |     4.9305 |   0.00001000 |     3.4089 |  2026-06-04 11:38:00
   108 |     2.9931 |     4.9304 |   0.00001000 |     2.8701 |  2026-06-04 11:38:02
   109 |     2.9849 |     4.9311 |   0.00001000 |     3.8569 |  2026-06-04 11:38:03
   110 |     2.9967 |     4.9309 |   0.00001000 |     3.0568 |  2026-06-04 11:38:05
   111 |     2.9892 |     4.9310 |   0.00001000 |     3.5359 |  2026-06-04 11:38:07
   112 |     2.9975 |     4.9310 |   0.00001000 |     3.7366 |  2026-06-04 11:38:09
   113 |     2.9957 |     4.9305 |   0.00001000 |     3.3767 |  2026-06-04 11:38:11
   114 |     2.9879 |     4.9309 |   0.00001000 |     3.5788 |  2026-06-04 11:38:13
   115 |     2.9868 |     4.9317 |   0.00001000 |     2.9003 |  2026-06-04 11:38:15
   116 |     2.9941 |     4.9322 |   0.00001000 |     3.3325 |  2026-06-04 11:38:17
